GEOID20,Tot_2020_acstot,Wh_2020_acstot,His_2020_acstot,BlC_2020_acstot,NatC_2020_acstot,AsnC_2020_acstot,PacC_2020_acstot,Tot_2020_cvap,Wh_2020_cvap,His_2020_cvap,BlC_2020_cvap,NatC_2020_cvap,AsnC_2020_cvap,PacC_2020_cvap,Tot_2020_tot,Wh_2020_tot,His_2020_tot,BlC_2020_tot,NatC_2020_tot,AsnC_2020_tot,PacC_2020_tot,Tot_2020_vap,Wh_2020_vap,His_2020_vap,BlC_2020_vap,NatC_2020_vap,AsnC_2020_vap,PacC_2020_vap,Tot_2020_nhvap,Wh_2020_nhvap,His_2020_nhvap,Bl_2020_nhvap,Asn_2020_nhvap,Nat_2020_nhvap,Pac_2020_nhvap,OthAl_2020_nhvap,Mix_2020_nhvap
4013000006,1681,1394,226,18,17,53,0,1553,1310,229,0,5,29,0,2145,1803,172,105,36,30,2,1967,1691,138,79,25,29,2,1967,1691,138,71,21,8,1,6,31
4013000423,4113,3961,68,27,11,46,0,3863,3747,69,24,10,0,0,4607,4266,141,71,42,62,6,4584,4264,135,60,39,56,6,4584,4264,135,46,44,7,1,11,76
4013000216,10884,3366,5166,2032,115,372,199,6763,2804,2738,951,51,95,50,10637,3967,5081,1148,361,288,84,7228,2942,3244,682,248,194,40,7228,2942,3244,554,134,77,22,21,234
4013000728,8701,7096,1081,46,495,37,32,7141,6423,320,16,358,0,15,7916,6205,1194,117,290,98,28,6725,5514,814,71,248,65,13,6725,5514,814,39,36,57,3,13,249
4013000007,911,602,284,0,9,0,12,622,298,215,0,12,0,0,925,329,558,6,43,12,1,702,298,376,4,33,7,0,702,298,376,0,5,9,0,4,10
4013000271,4692,4241,78,118,78,181,0,4135,3809,48,20,82,91,0,5249,4862,149,35,50,126,3,5002,4678,121,25,39,109,0,5002,4678,121,20,91,8,0,15,69
4013000082,266,260,6,0,0,1,0,227,219,9,0,0,1,0,265,245,11,0,3,6,0,247,231,9,0,2,5,0,247,231,9,0,3,1,0,0,3
4013000086,3874,3739,40,39,20,33,0,3706,3588,35,41,18,5,0,3690,3368,166,50,51,59,5,3461,3200,136,38,39,47,3,3461,3200,136,27,38,13,2,5,40
4013000060,5545,4339,591,313,154,210,0,4185,3377,410,201,74,116,0,4775,4046,274,96,47,295,18,3867,3342,198,66,36,209,9,3867,3342,198,43,177,3,4,9,91
4013000709,1518,801,694,0,23,0,0,1166,650,455,0,40,0,0,1700,915,596,79,77,48,18,1245,757,376,45,42,32,7,1245,757,376,33,15,17,0,3,44
4013000369,4452,1913,1709,406,25,430,35,2970,1392,1001,223,8,309,23,5155,2180,2205,501,196,212,53,3579,1681,1382,296,125,143,34,3579,1681,1382,220,103,29,25,5,134
