Candidate,Party,Incumbent,Incumbent Challenger,Office,District,Primary Votes,Primary %,Primary Outcome
Jevin D. Hodge,DEM,No,No,Representative,1,"46,144",62%,Won
Adam Metzendorf,DEM,No,No,Representative,1,"28,267",38%,Lost
Tom O'Halleran,DEM,Yes,No,Representative,2,"71,391",100%,Won
Ruben Gallego,DEM,Yes,No,Representative,3,"47,972",100%,Won
Greg Stanton,DEM,Yes,No,Representative,4,"61,319",100%,Won
Javier Garcia Ramos,DEM,No,No,Representative,5,"50,647",100%,Won
Avery Anderson,DEM,No,No,Representative,6,"5,639",6%,Lost
Kirsten Engel,DEM,No,No,Representative,6,"54,060",59%,Won
Daniel Hernandez,DEM,No,No,Representative,6,"31,815",35%,Lost
Raúl Grijalva,DEM,Yes,No,Representative,7,"62,547",100%,Won
Josh Barnett,REP,No,Yes,Representative,1,"27,999",23%,Lost
Elijah Norton,REP,No,Yes,Representative,1,"39,435",33%,Lost
David Schweikert,REP,Yes,No,Representative,1,"52,067",44%,Won
"Walter ""Walt"" Blackman",REP,No,No,Representative,2,"26,399",24%,Lost
Eli Crane,REP,No,No,Representative,2,"38,681",36%,Won
Mark DeLuzio,REP,No,No,Representative,2,"18,515",17%,Lost
Steven Krystofiak,REP,No,No,Representative,2,"5,905",5%,Lost
John Moore,REP,No,No,Representative,2,"7,327",7%,Lost
Ron Watkins,REP,No,No,Representative,2,"3,810",4%,Lost
Andy Yates,REP,No,No,Representative,2,"7,467",7%,Lost
Jeff Zink,REP,No,No,Representative,3,"13,894",100%,Won
Kelly Cooper,REP,No,No,Representative,4,"20,281",28%,Won
Jerone Davison,REP,No,No,Representative,4,"9,502",13%,Lost
Dave Giles,REP,No,No,Representative,4,"13,348",19%,Lost
Rene Lopez,REP,No,No,Representative,4,"10,149",14%,Lost
Tanya Contreras Wheeless,REP,No,No,Representative,4,"18,166",25%,Lost
Andy Biggs,REP,Yes,No,Representative,5,"98,114",100%,Won
Juan Ciscomani,REP,No,No,Representative,6,"49,559",47%,Won
Lucretia Free,REP,No,No,Representative,6,"5,029",5%,Lost
Brandon Martin,REP,No,No,Representative,6,"21,987",21%,Lost
Young Mayberry,REP,No,No,Representative,6,"8,942",9%,Lost
Kathleen Winn,REP,No,No,Representative,6,"19,635",19%,Lost
"Nina ""La Nina"" Becker",REP,No,No,Representative,7,"9,064",31%,Lost
Luis Pozzolo,REP,No,No,Representative,7,"20,413",69%,Won
Debbie Lesko,REP,Yes,No,Representative,8,"100,629",100%,Won
Sandra E. Dowling,REP,No,Yes,Representative,9,"8,851",9%,Lost
Paul Gosar,REP,Yes,No,Representative,9,"67,340",66%,Won
Randy Kutz,REP,No,Yes,Representative,9,"13,387",13%,Lost
Adam Morgan,REP,No,Yes,Representative,9,"12,508",12%,Lost
