GEOID20,Tot_2020_acstot,Wh_2020_acstot,His_2020_acstot,BlC_2020_acstot,NatC_2020_acstot,AsnC_2020_acstot,PacC_2020_acstot,Tot_2020_cvap,Wh_2020_cvap,His_2020_cvap,BlC_2020_cvap,NatC_2020_cvap,AsnC_2020_cvap,PacC_2020_cvap,Tot_2020_tot,Wh_2020_tot,His_2020_tot,BlC_2020_tot,NatC_2020_tot,AsnC_2020_tot,PacC_2020_tot,Tot_2020_vap,Wh_2020_vap,His_2020_vap,BlC_2020_vap,NatC_2020_vap,AsnC_2020_vap,PacC_2020_vap,Tot_2020_nhvap,Wh_2020_nhvap,His_2020_nhvap,Bl_2020_nhvap,Asn_2020_nhvap,Nat_2020_nhvap,Pac_2020_nhvap,OthAl_2020_nhvap,Mix_2020_nhvap
220850006-2,1981,1427,114,172,336,23,2,1458,1121,73,38,191,10,0,1511,1010,62,49,406,9,2,1236,897,41,27,280,7,1,1236,897,41,21,6,185,1,0,85
220850006-4,211,104,22,25,71,1,0,158,62,9,6,68,0,0,191,67,7,12,107,1,0,147,59,4,1,84,0,0,147,59,4,1,0,74,0,0,9
220850005-8,519,304,8,129,94,0,0,421,224,4,65,40,0,0,475,265,12,134,59,9,0,353,201,7,98,40,6,0,353,201,7,94,1,23,0,5,22
220750001-1,350,203,9,138,0,0,0,278,146,8,120,0,0,0,423,201,58,160,7,1,0,313,148,34,127,6,1,0,313,148,34,125,0,0,0,0,6
220750008-3,597,120,0,289,65,157,0,415,111,0,184,23,67,0,397,139,28,142,13,77,2,291,107,15,104,10,55,2,291,107,15,97,51,4,1,3,13
220750009-1,1101,568,1,30,31,471,0,618,351,3,20,36,198,0,1213,562,65,167,59,348,1,882,439,40,90,42,256,1,882,439,40,79,252,18,0,15,39
220750008-1,1278,1015,10,218,25,8,0,986,772,3,175,31,0,0,1202,718,123,295,43,16,3,908,562,80,220,24,10,1,908,562,80,211,7,9,0,6,33
220750006-2,1136,867,41,154,42,32,0,867,768,17,107,15,0,0,1190,779,142,227,26,18,2,878,603,78,164,16,12,1,878,603,78,154,12,4,0,10,17
220750007-1,838,296,0,481,62,0,0,573,263,0,254,53,0,0,832,231,46,471,69,9,2,653,202,38,334,65,5,2,653,202,38,318,3,35,2,16,39
220010007-4,1362,1290,74,0,0,0,0,949,880,30,0,0,0,0,1196,1077,34,62,16,4,0,883,802,26,39,11,4,0,883,802,26,37,1,0,0,2,15
220010006-1,2036,560,0,1477,0,0,0,1296,384,0,922,0,0,0,1913,435,41,1435,15,1,2,1278,326,31,930,8,1,0,1278,326,31,904,1,0,0,0,16
22001006-13,650,650,0,0,0,0,0,514,513,0,0,0,0,0,779,705,9,43,12,11,1,601,552,6,23,10,9,1,601,552,6,21,9,2,0,0,11
220010006-5,1310,1275,0,3,0,0,0,1027,1005,0,5,0,0,0,736,566,22,131,2,19,0,576,456,20,92,2,11,0,576,456,20,83,10,0,0,0,7
220010006-3,482,255,0,231,0,0,0,424,248,0,174,0,0,0,945,520,33,363,15,13,2,700,391,17,272,12,9,0,700,391,17,263,9,1,0,0,19
22019000405,2984,2620,115,229,16,12,2,2414,2094,59,214,10,7,0,3485,2684,313,321,76,108,2,2646,2093,215,235,42,73,1,2646,2093,215,196,63,6,0,1,72
22019000441,1693,940,55,681,39,19,0,1284,603,48,609,32,10,0,2026,1414,132,424,36,28,1,1526,1071,79,327,28,21,0,1526,1071,79,313,16,2,0,0,45
220850003-6,595,555,13,8,0,19,0,420,408,10,5,0,12,0,579,472,11,63,30,6,1,412,337,10,39,23,6,1,412,337,10,33,3,10,0,4,15
220850004-1,2446,745,96,1591,117,50,0,1822,498,72,1304,15,14,0,2135,572,48,1471,55,14,5,1613,499,28,1050,38,13,2,1613,499,28,1020,6,8,1,1,50
22019000407,2103,1956,4,142,0,2,0,1546,1433,0,116,0,2,0,1755,1437,84,149,35,26,1,1323,1115,48,98,20,24,1,1323,1115,48,91,24,5,1,0,39
22019000408,1980,1756,171,52,0,0,0,1451,1397,19,38,0,0,0,1725,1471,107,76,31,20,0,1304,1130,68,52,26,17,0,1304,1130,68,47,12,5,0,0,42
22019000601,1007,968,37,3,0,0,0,636,601,16,5,0,0,0,982,843,23,67,33,7,2,749,651,19,51,20,4,0,749,651,19,47,0,5,0,0,27
22019000262,568,568,0,0,0,0,0,462,458,0,0,0,0,0,675,620,27,17,10,2,0,549,505,19,15,10,0,0,549,505,19,9,0,2,0,1,13
220750003-1,3221,3083,138,0,0,0,0,2470,2331,140,0,0,0,0,2915,2359,248,112,78,109,12,2188,1824,155,66,56,68,12,2188,1824,155,64,51,9,12,9,64
220750002-2,1281,1150,26,0,0,105,0,887,757,25,0,0,104,0,1440,1145,137,68,36,67,2,1079,887,83,47,26,41,2,1079,887,83,36,29,7,1,1,35
