GEOID20,Adjacencies
220010001-1,"['220010002-3', '220010001-3', '220010001-8', '22055000071', '220010002-1', '22055000119']"
220010001-2,"['220010001-9', '220010001-4', '220010001-5', '220010001-6', '220010001-3']"
220010001-3,"['220010002-2', '220010001-9', '220010001-2', '220010001-6', '220010001-1', '220010001-8']"
220010001-4,"['220010001-9', '220010001-2', '220010001-5']"
220010001-5,"['220010001-9', '220010001-4', '220010001-2', '220010001-6']"
220010001-6,"['220010001-9', '220010001-2', '220010001-5', '220010001-3']"
220010001-8,"['220010001-9', '220010001-3', '220010001-1', '22055000027', '22055000071']"
220010001-9,"['22001006-16', '22001006-14', '220010002-2', '220010001-4', '220010001-2', '220010001-5', '220010001-6', '220010001-3', '220010001-8', '22055000037', '22055000027', '22055000028', '2211300007B']"
220010002-1,"['220010002-3', '220010003-7', '220010001-1', '22097000041', '22097000043']"
220010002-2,"['220010002-5', '22001006-16', '22001006-13', '220010002-3', '220010001-9', '220010001-3']"
220010002-3,"['220010002-5', '220010004-6', '220010002-2', '220010003-7', '220010003-2', '220010007-4', '220010001-1', '220010002-1']"
220010002-5,"['220010006-5', '220010006-1', '220010005-5', '22001006-13', '220010004-4', '220010004-6', '220010002-2', '220010002-3']"
220010003-1,"['220010003-3', '220010003-4', '22097000032', '220010003-5']"
220010003-2,"['220010002-3', '220010003-7', '220010003-5', '220010007-4', '22097000044']"
220010003-3,"['220010003-1', '220010003-7', '220010003-4', '22097000033', '22097000032']"
220010003-4,"['220010003-3', '220010003-1', '220010003-7', '220010003-5']"
220010003-5,"['220010003-1', '220010003-4', '22097000032', '220010003-2', '22097000044']"
220010003-7,"['220010002-3', '220010003-3', '220010003-4', '22097000033', '220010003-2', '220010002-1', '22097000041']"
220010004-1,"['22053000012', '22053000010', '220010004-5', '220010007-2', '220010007-3', '220010004-6']"
220010004-2,['220010004-6']
220010004-4,"['220010005-3', '220010004-5', '220010002-5', '220010005-5', '220010004-6']"
220010004-5,"['220010005-3', '2205300009B', '22053000007', '22053000010', '220010004-1', '220010004-4', '220010004-6']"
220010004-6,"['220010004-5', '220010004-1', '220010007-3', '220010002-5', '220010004-4', '220010002-3', '220010007-4', '220010004-2']"
220010005-1,"['22053000005', '220010005-3', '2205300009B']"
220010005-2,['220010005-5']
220010005-3,"['22053000004', '22113000001', '22053000005', '220010005-1', '220010004-5', '22001006-15', '220010005-5', '220010004-4', '22001006-10', '220010005-4']"
220010005-4,['220010005-3']
220010005-5,"['220010005-3', '220010006-1', '22001006-15', '220010002-5', '220010004-4', '220010005-2']"
220010006-1,"['220010006-6', '220010006-5', '220010006-3', '22001006-15', '220010002-5', '220010005-5']"
220010006-2,"['220010006-4', '22001006-12', '220010006-7', '22001006-16', '22001006-14']"
220010006-3,"['220010006-4', '220010006-6', '220010006-5', '220010006-1']"
220010006-4,"['220010006-6', '22001006-12', '220010006-2', '220010006-7', '220010006-5', '220010006-3']"
220010006-5,"['220010006-4', '22001006-12', '220010006-3', '220010006-1', '220010002-5', '22001006-13']"
220010006-6,"['220010006-4', '220010006-7', '220010006-3', '220010006-1', '22001006-15']"
220010006-7,"['220010006-4', '220010006-6', '220010006-2', '22001006-15', '22001006-14', '220010006-8']"
220010006-8,"['220010006-7', '22001006-14']"
220010007-2,"['22053000012', '22039002040', '22039002030', '220010004-1', '220010007-3', '22039002020']"
220010007-3,"['220010004-1', '220010007-2', '22097000052', '220010004-6', '220010007-4', '22097000051']"
220010007-4,"['220010007-3', '220010004-6', '220010002-3', '220010003-2', '22097000044', '22097000051']"
22001006-10,"['22113000001', '220010005-3', '22001006-15', '22001006-14', '2211300005A']"
22001006-12,"['220010006-4', '220010006-2', '220010006-5', '22001006-16', '22001006-13']"
22001006-13,"['22001006-12', '220010006-5', '220010002-5', '22001006-16', '220010002-2']"
22001006-14,"['220010006-2', '220010006-7', '22001006-15', '22001006-16', '220010001-9', '220010006-8', '22001006-10', '2211300005A', '22113007A-1']"
22001006-15,"['220010005-3', '220010006-6', '220010006-7', '220010006-1', '220010005-5', '22001006-14', '22001006-10']"
22001006-16,"['22001006-12', '220010006-2', '22001006-13', '22001006-14', '220010002-2', '220010001-9']"
220030001-1,"['220030001-5', '220030001-4', '220030001-3', '220030001-6']"
220030001-2,"['220030001-5', '220030002-1', '2200305-4-O', '22039002040', '22039002030', '22039003040', '22039003070']"
220030001-3,"['220030001-1', '220030001-5', '220030001-6', '220030002-6', '220030003-1', '220030004-2', '220030004-3']"
220030001-4,"['220030001-1', '220030001-5']"
220030001-5,"['220030001-1', '220030001-4', '220030001-3', '220030001-6', '220030002-1', '220030001-2', '2200302-4-O', '2200305-4-O']"
220030001-6,"['220030001-1', '220030001-5', '220030001-3', '2200305-4-O', '220030004-2', '220030005-5']"
220030002-1,"['220030001-5', '220030001-2', '2200302-4-O', '22053000012', '22053000013', '22039002040']"
220030002-2,"['220030002-6', '2200302-4-O', '220030003-1', '2200302-2-A', '2200302-4-C', '22053000016', '220030002-3']"
220030002-3,"['220030003-1', '220030002-2', '22053000016', '22053000018']"
220030002-5,"['220030002-6', '2200302-4-O', '2200302-2-A', '2200302-4-C']"
220030002-6,"['220030001-3', '2200302-4-O', '220030002-5', '220030003-1', '220030002-2', '2200302-2-A']"
220030003-1,"['220030001-3', '220030002-6', '220030002-2', '220030004-3', '220030002-3', '220030003-2', '22053000017', '22011000022']"
220030003-2,"['220030003-1', '22053000017', '22011000022', '2201100012A', '22011000012', '2201100014A']"
220030004-2,"['220030001-3', '220030001-6', '220030005-5', '220030004-3', '22011000019', '2201100019C', '220030005-2', '221150005-1']"
220030004-3,"['220030001-3', '220030003-1', '220030004-2', '2201100019C', '22011000022', '22011000020']"
220030005-2,"['220030004-2', '220030005-5', '221150005-1', '22079000S29']"
220030005-3,"['2200305-4-O', '220030005-9', '22003005-10', '2200305-4-C']"
220030005-5,"['220030001-6', '2200305-4-O', '220030004-2', '220030005-2', '22003005-10', '22079000S29']"
220030005-7,"['2200305-4-O', '22003005-13', '220030005-9', '22003005-10', '2200305-4-C', '22003005-12', '22003005-8A']"
220030005-9,"['22003005-13', '220030005-7', '22003005-10', '2200305-4-C', '22003005-8A', '220030005-3']"
22003005-10,"['2200305-4-O', '220030005-5', '22003005-13', '220030005-7', '220030005-9', '22003005-12', '220030005-3', '22079000S26', '22039004020']"
22003005-12,"['2200305-4-O', '22039003040', '220030005-7', '22003005-10', '22039004021']"
22003005-13,"['220030005-7', '220030005-9', '22003005-10']"
22003005-8A,"['220030005-7', '220030005-9', '2200305-4-C']"
2200302-2-A,"['220030002-6', '220030002-5', '220030002-2', '2200302-4-C']"
2200302-4-C,"['2200302-4-O', '220030002-5', '220030002-2', '2200302-2-A']"
2200302-4-O,"['220030001-5', '220030002-1', '220030002-6', '22053000012', '220030002-5', '220030002-2', '2200302-4-C', '22053000016']"
2200305-4-C,"['2200305-4-O', '220030005-7', '220030005-9', '22003005-8A', '220030005-3']"
2200305-4-O,"['220030001-5', '220030001-6', '220030001-2', '220030005-5', '22039003040', '220030005-7', '22003005-10', '2200305-4-C', '22003005-12', '220030005-3']"
22005000001,"['22005000007', '22005000002', '22005000006', '22005000064', '22033003-67']"
22005000002,"['22005000001', '22005000064', '22033003-34', '22005000008', '22033003-47', '22005000061']"
22005000003,"['22005000005', '22005000004', '22005000010', '22033003-47', '22005000009', '22005000061']"
22005000004,"['22005000005', '22005000076', '22005000003', '2206300021A', '22033003-47']"
22005000005,"['22005000004', '22005000012', '22005000076', '22005000010', '22005000003']"
22005000006,"['22005000001', '22005000007', '22005000064', '22033003-67', '22005000062', '22005000045', '22005000036', '22005000071', '22047000011', '22005000063', '22047000010', '22033003-56', '22033003-19']"
22005000007,"['22005000001', '22005000006', '22005000064']"
22005000008,"['22005000002', '22005000064', '22005000016', '22005000011', '22005000009', '22005000061']"
22005000009,"['22005000011', '22005000008', '22005000012', '22005000010', '22005000003', '22005000061']"
22005000010,"['22005000005', '22005000012', '22005000003', '22005000009']"
22005000011,"['22005000017', '22005000016', '22005000020', '22005000008', '22005000012', '22005000009', '22005000018']"
22005000012,"['22005000011', '22005000005', '22005000076', '22005000010', '22005000009', '22005000018', '22005000013']"
22005000013,"['22005000012', '22005000076', '22005000018', '22005000014']"
22005000014,"['22005000076', '22005000018', '22005000013', '22005000015', '22005000041', '22005000022']"
22005000015,"['22005000076', '22005000014', '22063000033', '22005000035', '22005000027', '22063000017', '22005000026', '22005000022', '22063000034', '22063000043']"
22005000016,"['22005000064', '22005000017', '22005000011', '22005000077', '22005000008', '22005000062']"
22005000017,"['22005000016', '22005000011', '22005000077', '22005000020', '22005000072']"
22005000018,"['22005000011', '22005000012', '22005000013', '22005000014', '22005000021', '22005000025']"
22005000020,"['22005000017', '22005000011', '22005000072', '22005000023', '22005000021', '22005000024']"
22005000021,"['22005000020', '22005000018', '22005000024', '22005000025']"
22005000022,"['22005000015', '22005000014', '22005000041', '22005000026']"
22005000023,"['22005000020', '22005000073', '22005000028', '22005000058', '22005000024']"
22005000024,"['22005000020', '22005000058', '22005000023', '22005000021', '22005000025']"
22005000025,"['22005000018', '22005000033', '22005000058', '22005000021', '22005000024', '22005000041']"
22005000026,"['22005000015', '22005000027', '22005000041', '22005000022']"
22005000027,"['22005000015', '22005000043', '22005000035', '22005000033', '22005000026']"
22005000028,"['22005000037', '22005000073', '22005000058', '22005000030', '22005000023']"
22005000030,"['22005000032', '22005000065', '22005000037', '22005000028', '22005000031']"
22005000031,"['22005000032', '22005000058', '22005000030']"
22005000032,"['22005000043', '22005000042', '22005000033', '22005000065', '22005000031', '22005000030']"
22005000033,"['22005000043', '22005000027', '22005000032', '22005000058', '22005000025', '22005000041']"
22005000034,"['22005000043', '22005000040', '22005000035']"
22005000035,"['220950002-1', '22005000015', '22005000043', '22005000040', '22005000034', '22005000027', '22093000011', '22093000003', '22063000016', '22063000017']"
22005000036,"['22005000006', '22005000045', '22005000039', '22005000042', '22005000066', '22005000065', '22005000037', '22005000073', '22005000071']"
22005000037,"['22005000036', '22005000065', '22005000073', '22005000028', '22005000030']"
