GEOID20,Tot_2020_tot,Wh_2020_tot,His_2020_tot,BlC_2020_tot,NatC_2020_tot,AsnC_2020_tot,PacC_2020_tot,Tot_2020_vap,Wh_2020_vap,His_2020_vap,BlC_2020_vap,NatC_2020_vap,AsnC_2020_vap,PacC_2020_vap,Tot_2020_adjtot,Wh_2020_adjtot,His_2020_adjtot,BlC_2020_adjtot,NatC_2020_adjtot,AsnC_2020_adjtot,PacC_2020_adjtot,Tot_2020_nhvap,Wh_2020_nhvap,His_2020_nhvap,Bl_2020_nhvap,Asn_2020_nhvap,Nat_2020_nhvap,Pac_2020_nhvap,OthAl_2020_nhvap,Mix_2020_nhvap
2400107-002,2147,1968,15,55,30,63,0,1701,1589,8,29,22,45,0,2148,1969,15,59,31,64,0,1701,1589,8,17,37,0,0,4,46
2400105-004,1735,1496,39,144,32,15,1,1377,1214,22,104,21,12,1,1739,1497,39,149,32,15,1,1377,1214,22,81,7,0,0,9,44
2400124-000,1764,1681,16,24,22,21,1,1493,1437,12,20,14,14,1,1766,1683,16,24,22,21,1,1493,1437,12,11,9,1,0,0,23
2400120-000,1896,1803,25,20,31,12,1,1557,1493,15,10,24,10,1,1897,1804,25,20,31,12,1,1557,1493,15,7,4,0,0,4,34
2400107-001,5068,2500,133,2322,70,32,2,4669,2153,117,2305,57,27,1,2711,2037,73,511,59,25,1,4669,2153,117,2292,23,19,0,4,61
2402102-016,4125,1694,818,1232,106,334,12,3143,1412,571,855,77,254,11,4144,1703,818,1233,96,333,12,3143,1412,571,778,224,21,5,21,111
2402102-006,3901,2284,612,659,74,342,3,3054,1936,420,434,55,242,3,3905,2286,612,662,73,344,3,3054,1936,420,362,212,6,1,23,94
2400902-004,4866,3306,169,1117,137,133,15,3720,2627,99,799,88,90,9,4880,3313,169,1127,137,126,14,3720,2627,99,748,63,11,3,11,158
2400903-007,4154,3287,214,356,96,171,16,3141,2543,127,272,68,115,4,4157,3290,214,356,96,170,16,3141,2543,127,246,88,7,1,10,119
2400903-006,3234,2538,153,310,82,143,16,2482,2003,105,211,60,94,10,3234,2538,153,310,82,143,16,2482,2003,105,187,61,6,0,12,108
2402117-001,2135,1950,53,41,30,39,8,1703,1581,34,20,27,20,3,2136,1950,53,42,30,39,8,1703,1581,34,15,15,3,0,4,51
2402118-001,4255,3500,299,217,102,129,11,3312,2799,201,156,71,85,6,4260,3504,299,219,100,134,11,3312,2799,201,130,52,5,2,7,116
2402118-002,3361,3060,104,85,61,31,6,2607,2435,47,53,40,19,4,3365,3063,104,86,62,31,6,2607,2435,47,27,12,2,0,7,77
2402121-001,2219,1836,167,96,34,87,2,1814,1555,121,52,26,63,1,2222,1839,167,96,34,87,2,1814,1555,121,30,54,0,0,5,49
2402121-005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2402121-007,889,763,48,30,9,40,0,730,647,33,18,5,27,0,889,763,48,30,9,40,0,730,647,33,16,21,0,0,3,10
2402121-006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2402121-008,33,20,5,3,3,0,0,23,13,5,0,3,0,0,33,20,5,3,3,0,0,23,13,5,0,0,1,0,0,4
2402109-002,6443,4577,619,553,97,569,3,4823,3601,416,336,71,362,1,6446,4580,619,563,97,571,3,4823,3601,416,288,335,4,0,22,157
2402109-001,4370,3652,222,162,70,253,3,3115,2641,121,119,40,165,2,4371,3653,222,161,69,252,3,3115,2641,121,103,130,5,2,13,100
2402113-002,170,132,25,4,4,5,3,144,112,22,3,3,2,3,170,132,25,4,4,5,3,144,112,22,0,1,1,0,0,8
2402113-003,1017,762,72,107,31,52,0,724,563,46,68,19,37,0,1017,762,72,107,31,52,0,724,563,46,48,29,1,0,4,33
2402113-001,6284,5134,410,327,166,241,7,4511,3799,243,195,109,139,6,6289,5139,410,331,168,255,8,4511,3799,243,113,105,7,0,19,225
2400303-006,12984,6646,1032,4180,284,1085,49,9941,5417,672,2958,199,798,32,12996,6649,1033,4153,266,1089,49,9941,5417,672,2660,647,28,19,61,437
2400303-007,3117,2438,127,328,98,105,8,2343,1915,78,202,59,69,6,3122,2443,127,334,96,104,8,2343,1915,78,175,48,5,3,10,109
2400302-007,4375,2311,542,1160,111,295,11,3446,1942,351,852,97,232,9,4390,2318,542,1165,100,296,10,3446,1942,351,771,199,14,3,20,146
2400302-004,3151,1696,196,931,64,260,11,2592,1458,126,742,53,200,11,3154,1699,196,936,61,259,11,2592,1458,126,706,166,1,10,12,113
2400307-007,2968,2496,147,160,67,103,11,2373,2051,91,105,40,64,8,2969,2496,147,156,62,103,11,2373,2051,91,102,47,6,0,2,74
2400304-015,3564,2967,139,185,90,144,16,2852,2450,83,144,64,87,15,3565,2967,139,185,88,143,16,2852,2450,83,117,55,3,2,17,125
2400303-004,4389,3069,361,606,126,221,12,3364,2461,229,409,94,157,8,4397,3076,361,624,127,227,13,3364,2461,229,361,122,12,0,13,166
