Candidate,Party,Incumbent,Incumbent Challenger,Office,District,Primary Votes,Primary %,Primary Outcome
R. David Harden,DEM,No,No,Representative,1,"15,683",31%,Lost
Heather R. Mizeur,DEM,No,No,Representative,1,"34,549",69%,Won
George Croom,DEM,No,Yes,Representative,2,"8,465",10%,Lost
Marques Dent,DEM,No,Yes,Representative,2,"7,728",9%,Lost
Liri Fusha,DEM,No,Yes,Representative,2,"4,218",5%,Lost
C.A. Dutch Ruppersberger,DEM,Yes,No,Representative,2,"62,896",75%,Won
Ben R. Beardsley,DEM,No,Yes,Representative,3,"6,854",9%,Lost
Jake Pretot,DEM,No,Yes,Representative,3,"4,728",6%,Lost
John Sarbanes,DEM,Yes,No,Representative,3,"63,790",85%,Won
Tammy Allison,DEM,No,No,Representative,4,"1,726",2%,Lost
Angela M. Angel,DEM,No,No,Representative,4,"4,678",6%,Lost
"James Levi Curtis, Jr.",DEM,No,No,Representative,4,763,1%,Lost
Donna F. Edwards,DEM,No,No,Representative,4,"29,114",35%,Lost
Matthew F. Fogg,DEM,No,No,Representative,4,663,1%,Lost
Gregory Holmes,DEM,No,No,Representative,4,"1,024",1%,Lost
Glenn F. Ivey,DEM,No,No,Representative,4,"42,791",52%,Won
Robert K. McGhee,DEM,No,No,Representative,4,549,1%,Lost
Kim A. Shelton,DEM,No,No,Representative,4,"1,354",2%,Lost
Steny Hoyer,DEM,Yes,No,Representative,5,"68,729",71%,Won
Keith Washington,DEM,No,Yes,Representative,5,"9,222",10%,Lost
McKayla Wilkes,DEM,No,Yes,Representative,5,"18,403",19%,Lost
George Gluck,DEM,No,Yes,Representative,6,"2,789",5%,Lost
Ben Smilowitz,DEM,No,Yes,Representative,6,"8,995",16%,Lost
David J. Trone,DEM,Yes,No,Representative,6,"44,370",79%,Won
Tashi Kimandus Davis,DEM,No,Yes,Representative,7,"7,141",8%,Lost
Elihu Eli El,DEM,No,Yes,Representative,7,"1,885",2%,Lost
Kweisi Mfume,DEM,Yes,No,Representative,7,"80,118",85%,Won
"Wayne ""For Freedom"" McNeal",DEM,No,Yes,Representative,7,"4,890",5%,Lost
Andalib Odulate,DEM,No,Yes,Representative,8,"7,075",6%,Lost
Jamie Raskin,DEM,Yes,No,Representative,8,"109,055",94%,Won
Andy Harris,REP,Yes,No,Representative,1,"67,933",100%,Won
Nicolee Ambrose,REP,No,No,Representative,2,"12,201",32%,Won
Berney Flowers,REP,No,No,Representative,2,"4,983",13%,Lost
Michael A. Geppi,REP,No,No,Representative,2,"5,595",15%,Lost
Lance Griffin,REP,No,No,Representative,2,"3,192",8%,Lost
"Ellen ""EJ"" McNulty",REP,No,No,Representative,2,"4,204",11%,Lost
Dave Wallace,REP,No,No,Representative,2,"7,643",20%,Lost
"Thomas E. ""Pinkston"" Harris",REP,No,No,Representative,3,"4,966",13%,Lost
Joe Kelley,REP,No,No,Representative,3,"8,924",23%,Lost
Yuripzy Morgan,REP,No,No,Representative,3,"13,198",34%,Won
Antonio Patrizio Pitocco,REP,No,No,Representative,3,"8,041",20%,Lost
Amal Torres,REP,No,No,Representative,3,"4,171",11%,Lost
Eric Loeb,REP,No,No,Representative,4,607,15%,Lost
George McDermott,REP,No,No,Representative,4,"1,091",27%,Lost
Jeff Warner,REP,No,No,Representative,4,"2,414",59%,Won
DuVal Cubero,REP,No,No,Representative,5,"1,024",3%,Lost
Vanessa Marie Hoffman,REP,No,No,Representative,5,"3,538",10%,Lost
Toni Jarboe-Duley,REP,No,No,Representative,5,"1,578",4%,Lost
Michael S. Lemon,REP,No,No,Representative,5,"1,818",5%,Lost
Chris Palombi,REP,No,No,Representative,5,"24,423",68%,Won
Patrick Lucky Stevens,REP,No,No,Representative,5,"1,344",4%,Lost
Tannis Villanova,REP,No,No,Representative,5,"2,445",7%,Lost
Colt M. Black,REP,No,No,Representative,6,"3,789",7%,Lost
Matthew Foldi,REP,No,No,Representative,6,"7,497",15%,Lost
Jonathan Jenkins,REP,No,No,Representative,6,"3,406",7%,Lost
Neil C. Parrott,REP,No,No,Representative,6,"31,665",63%,Won
Robert Poissonnier,REP,No,No,Representative,6,400,1%,Lost
Mariela Roca,REP,No,No,Representative,6,"3,858",8%,Lost
Ray Bly,REP,No,No,Representative,7,"1,271",15%,Lost
Scott M. Collier,REP,No,No,Representative,7,"2,873",35%,Won
Michael Pearson,REP,No,No,Representative,7,"1,906",23%,Lost
Lorrie A. Sigley,REP,No,No,Representative,7,"2,245",27%,Lost
Gregory Thomas Coll,REP,No,No,Representative,8,"11,445",84%,Won
Michael Mihirate Yadeta,REP,No,No,Representative,8,"2,245",16%,Lost
