"Label (Grouping)","Maryland","Congressional District 1 (116th Congress), Maryland","Congressional District 2 (116th Congress), Maryland","Congressional District 3 (116th Congress), Maryland","Congressional District 4 (116th Congress), Maryland","Congressional District 5 (116th Congress), Maryland","Congressional District 6 (116th Congress), Maryland","Congressional District 7 (116th Congress), Maryland","Congressional District 8 (116th Congress), Maryland"
"Total:","6,177,224","743,611","785,331","774,165","798,925","795,379","791,619","703,752","784,442"
"    Hispanic or Latino","729,745","37,830","75,600","86,436","155,350","88,327","122,372","36,756","127,074"
"    Not Hispanic or Latino:","5,447,479","705,781","709,731","687,729","643,575","707,052","669,247","666,996","657,368"
"        Population of one race:","5,176,715","674,400","672,378","652,774","615,717","668,001","633,266","639,739","620,440"
"            White alone","2,913,782","563,176","341,512","407,875","186,278","322,396","423,929","226,889","441,727"
"            Black or African American alone","1,795,027","87,922","279,061","178,405","397,277","303,645","109,586","342,459","96,672"
"            American Indian and Alaska Native alone","12,055","1,306","2,104","1,374","1,458","2,374","1,229","1,237","973"
"            Asian alone","417,962","19,057","44,873","59,888","26,122","34,539","93,108","65,134","75,241"
"            Native Hawaiian and Other Pacific Islander alone","2,575","206","441","350","300","441","356","187","294"
"            Some Other Race alone","35,314","2,733","4,387","4,882","4,282","4,606","5,058","3,833","5,533"
"        Population of two or more races:","270,764","31,381","37,353","34,955","27,858","39,051","35,981","27,257","36,928"
"            Population of two races:","249,806","29,660","34,270","32,394","25,098","35,173","33,682","24,840","34,689"
"                White; Black or African American","73,205","8,305","12,094","9,137","7,183","10,662","10,478","7,858","7,488"
"                White; American Indian and Alaska Native","44,092","9,656","6,967","5,187","2,974","6,133","5,850","2,640","4,685"
"                White; Asian","53,337","4,611","5,300","7,950","4,062","6,374","8,190","5,685","11,165"
"                White; Native Hawaiian and Other Pacific Islander","1,868","174","243","270","161","358","208","176","278"
"                White; Some Other Race","37,069","5,137","4,232","5,200","2,755","3,837","5,357","3,055","7,496"
"                Black or African American; American Indian and Alaska Native","14,741","622","2,139","1,526","2,940","3,269","874","2,656","715"
"                Black or African American; Asian","8,918","291","1,266","1,249","1,529","1,746","942","1,014","881"
"                Black or African American; Native Hawaiian and Other Pacific Islander","1,036","44","156","106","206","161","99","171","93"
"                Black or African American; Some Other Race","11,616","556","1,404","1,264","2,842","2,118","991","1,168","1,273"
"                American Indian and Alaska Native; Asian","654","39","92","89","67","86","97","85","99"
"                American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","74","10","13","5","11","7","19","4","5"
"                American Indian and Alaska Native; Some Other Race","277","26","19","38","46","55","35","24","34"
"                Asian; Native Hawaiian and Other Pacific Islander","1,308","113","141","153","140","211","250","97","203"
"                Asian; Some Other Race","1,492","69","189","206","147","145","274","195","267"
"                Native Hawaiian and Other Pacific Islander; Some Other Race","119","7","15","14","35","11","18","12","7"
"            Population of three races:","18,987","1,532","2,856","2,321","2,435","3,582","2,073","2,203","1,985"
"                White; Black or African American; American Indian and Alaska Native","9,493","681","1,570","1,046","1,407","1,953","938","1,137","761"
"                White; Black or African American; Asian","3,285","184","463","484","382","585","421","360","406"
"                White; Black or African American; Native Hawaiian and Other Pacific Islander","308","60","52","28","28","45","32","52","11"
"                White; Black or African American; Some Other Race","1,654","121","204","195","192","265","213","200","264"
"                White; American Indian and Alaska Native; Asian","1,154","173","186","161","85","173","119","93","164"
"                White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","97","17","17","14","1","19","12","11","6"
"                White; American Indian and Alaska Native; Some Other Race","244","44","35","42","7","20","28","36","32"
"                White; Asian; Native Hawaiian and Other Pacific Islander","1,045","119","122","130","97","166","145","119","147"
"                White; Asian; Some Other Race","470","41","53","86","43","55","58","45","89"
"                White; Native Hawaiian and Other Pacific Islander; Some Other Race","36","12","5","3","0","9","2","2","3"
"                Black or African American; American Indian and Alaska Native; Asian","363","23","49","39","64","93","11","51","33"
"                Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","88","14","7","18","18","12","8","9","2"
"                Black or African American; American Indian and Alaska Native; Some Other Race","220","8","31","13","30","77","18","30","13"
"                Black or African American; Asian; Native Hawaiian and Other Pacific Islander","176","9","20","16","31","41","25","20","14"
"                Black or African American; Asian; Some Other Race","260","11","33","37","35","50","37","23","34"
"                Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race","37","5","4","0","10","8","0","8","2"
"                American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","17","4","2","0","2","6","2","0","1"
"                American Indian and Alaska Native; Asian; Some Other Race","20","1","1","6","0","1","3","5","3"
"                American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race","7","0","1","0","2","3","1","0","0"
"                Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","13","5","1","3","1","1","0","2","0"
